zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
919,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
920,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
921,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
922,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
923,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
924,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
925,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
926,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
927,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
928,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
929,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
930,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
931,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
933,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
934,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
935,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
936,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
937,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
938,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
939,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
940,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
949,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
950,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
951,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
952,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
